,Method,YY_MM,Quantity of Units Issued,Quantity of Units,Rolling_Issuance,Rolling_Retirement,Balance,Retirement_Ratio
646,Cookstoves,21_02,254115.0,371.0,3880918.0,2747401.0,1133517.0,0.7079255475122124
647,Cookstoves,21_03,10898.0,7511.0,3891816.0,2754912.0,1136904.0,0.707873136859502
648,Cookstoves,21_04,975.0,65706.0,3892791.0,2820618.0,1072173.0,0.7245747331413374
649,Cookstoves,21_05,0.0,9964.0,3892791.0,2830582.0,1062209.0,0.7271343362641354
650,Cookstoves,21_06,0.0,67888.0,3892791.0,2898470.0,994321.0,0.7445737518402606
651,Cookstoves,21_07,0.0,16754.0,3892791.0,2915224.0,977567.0,0.7488776047827895
652,Cookstoves,21_08,0.0,33152.0,3892791.0,2948376.0,944415.0,0.7573938595727333
653,Cookstoves,21_09,337284.0,3059.0,4230075.0,2951435.0,1278640.0,0.6977263996501244
654,Cookstoves,21_10,0.0,7136.0,4230075.0,2958571.0,1271504.0,0.6994133673752829
655,Cookstoves,21_11,121421.0,9457.0,4351496.0,2968028.0,1383468.0,0.6820707177485628
656,Cookstoves,21_12,56361.0,65756.0,4407857.0,3033784.0,1374073.0,0.6882673371663373
657,Cookstoves,22_01,0.0,4095.0,4407857.0,3037879.0,1369978.0,0.6891963600452555
658,Cookstoves,22_02,312353.0,8799.0,4720210.0,3046678.0,1673532.0,0.6454539098896024
659,Cookstoves,22_03,159752.0,301268.0,4879962.0,3347946.0,1532016.0,0.6860598504660487
660,Cookstoves,22_04,172946.0,7509.0,5052908.0,3355455.0,1697453.0,0.664064138907734
661,Cookstoves,22_05,258931.0,39022.0,5311839.0,3394477.0,1917362.0,0.6390398880688967
662,Cookstoves,22_06,750276.0,115358.0,6062115.0,3509835.0,2552280.0,0.5789786237971402
663,Cookstoves,22_07,8265.0,35848.0,6070380.0,3545683.0,2524697.0,0.5840957238261855
664,Cookstoves,22_08,69502.0,8364.0,6139882.0,3554047.0,2585835.0,0.5788461406913031
665,Cookstoves,22_09,348416.0,16144.0,6488298.0,3570191.0,2918107.0,0.5502507745482713
666,Cookstoves,22_10,826927.0,17411.0,7315225.0,3587602.0,3727623.0,0.4904294809797375
667,Cookstoves,22_11,890107.0,48715.0,8205332.0,3636317.0,4569015.0,0.44316512726115165
668,Cookstoves,22_12,3508506.0,83530.0,11713838.0,3719847.0,7993991.0,0.3175600516244121
669,Cookstoves,23_01,316570.0,48824.0,12030408.0,3768671.0,8261737.0,0.3132621104787136
670,Cookstoves,23_02,3629247.0,215601.0,15659655.0,3984272.0,11675383.0,0.25442910460032486
671,Cookstoves,23_03,123647.0,12561.0,15783302.0,3996833.0,11786469.0,0.25323173820028283
672,Fugitive Emiss.,09_07,167647.0,0.0,167647.0,0.0,167647.0,0.0
673,Fugitive Emiss.,09_08,35582.0,0.0,203229.0,0.0,203229.0,0.0
674,Fugitive Emiss.,09_10,51080.0,0.0,254309.0,0.0,254309.0,0.0
675,Fugitive Emiss.,09_11,128574.0,0.0,382883.0,0.0,382883.0,0.0
676,Fugitive Emiss.,09_12,2580754.0,0.0,2963637.0,0.0,2963637.0,0.0
677,Fugitive Emiss.,10_01,141676.0,0.0,3105313.0,0.0,3105313.0,0.0
678,Fugitive Emiss.,10_02,0.0,81.0,3105313.0,81.0,3105232.0,2.6084327087156754e-05
679,Fugitive Emiss.,10_05,0.0,3139.0,3105313.0,3220.0,3102093.0,0.0010369325088968487
680,Fugitive Emiss.,10_06,3722589.0,0.0,6827902.0,3220.0,6824682.0,0.0004715943491866169
681,Fugitive Emiss.,10_07,0.0,48.0,6827902.0,3268.0,6824634.0,0.0004786243270626907
682,Fugitive Emiss.,10_08,0.0,4390.0,6827902.0,7658.0,6820244.0,0.0011215743869786062
683,Fugitive Emiss.,10_09,46956.0,4151.0,6874858.0,11809.0,6863049.0,0.0017177082057549407
684,Fugitive Emiss.,10_10,6000.0,90001.0,6880858.0,101810.0,6779048.0,0.014796119902488905
685,Fugitive Emiss.,10_11,0.0,5000.0,6880858.0,106810.0,6774048.0,0.01552277346807622
686,Fugitive Emiss.,10_12,49500.0,69725.0,6930358.0,176535.0,6753823.0,0.02547271006779159
687,Fugitive Emiss.,11_01,102948.0,1055.0,7033306.0,177590.0,6855716.0,0.025249861160597874
688,Fugitive Emiss.,11_02,0.0,45038.0,7033306.0,222628.0,6810678.0,0.03165339315536676
689,Fugitive Emiss.,11_03,0.0,876.0,7033306.0,223504.0,6809802.0,0.031777943402434075
690,Fugitive Emiss.,11_04,0.0,200000.0,7033306.0,423504.0,6609802.0,0.06021407286985665
691,Fugitive Emiss.,11_05,0.0,1130.0,7033306.0,424634.0,6608672.0,0.060374737001347586
692,Fugitive Emiss.,11_06,0.0,1185.0,7033306.0,425819.0,6607487.0,0.060543221068442066
