,Project ID,Type,Name,Location,Standard,Volume,Price,Price Type,Broker,Offer Date,LDC,Notes,Year,Month,Quarter,Vintage
133,VCS 1356,Wind,Jiangsu Dongtai Phase II Wind Power Project,China,VCS,383648,0.42,Trade,CBL,2019-12-27,0.0,,2019,12,4,2016
134,VCS 674,REDD,Rimba Raya,Indonesia,VCS-CCB-SDG,7500,6.0,Trade,CBL,2020-01-08,0.0,,2020,1,1,2014
135,VCS 1839,Wind,Cecic HKC Danjinghe Wind Farm Project,China,VCS,189905,0.42,Trade,CBL,2020-01-13,0.0,,2020,1,1,2016
136,VCS 1001,Wind,Inner mongolia yihewusu phase II wind power project,China,VCS,110617,0.42,Trade,CBL,2020-01-13,0.0,,2020,1,1,2016
137,VCS 1200,Wind,Guohua Wulate Zhongqi Phase II Wind Farm Project,China,VCS,102473,0.42,Trade,CBL,2020-01-13,0.0,,2020,1,1,2017
138,VCS 1356,Wind,Jiangsu Dongtai Phase II Wind Power Project,China,VCS,193438,0.42,Trade,CBL,2020-01-13,0.0,,2020,1,1,2014
139,VCS 1867,Wind,Ningxia Xiangshan Wind Farm Project,China,VCS-SDG,111641,0.42,Trade,CBL,2020-01-13,0.0,,2020,1,1,2019
140,VCS 1939,Wind,Cecep Gansu Yumen Changma Daba South Wind Farm Project,China,VCS,45791,0.42,Trade,CBL,2020-01-13,0.0,,2020,1,1,2019
141,VCS 1939,Wind,Cecep Gansu Yumen Changma Daba South Wind Farm Project,China,VCS,17802,0.42,Trade,CBL,2020-01-13,0.0,,2020,1,1,2018
142,VCS 1768,Solar,216 MWAC Kamuthi Solar Power Project,India,VCS-SDG,2758,0.6,Trade,CBL,2020-01-13,0.0,,2020,1,1,2018
143,VCS 674,REDD,Rimba Raya,Indonesia,VCS-CCB-SDG,175,6.0,Trade,CBL,2020-01-15,0.0,,2020,1,1,2013
144,VCS 1742,Run of river,Hydroelectric Project in Kinnaur ,India,VCS,32966,0.37,Trade,CBL,2020-01-17,0.0,,2020,1,1,2017
145,VCS 93,Hydro,86 MW Hydro Project in Himachal Pradesh,India,VCS,47034,0.37,Trade,CBL,2020-01-17,0.0,,2020,1,1,2015
146,VCS 1207,Wind,Sinner Wind Power Project in Maharashtra,India,VCS,17000,0.8,Trade,CBL,2020-01-17,0.0,,2020,1,1,2016
147,VCS 1770,Solar,Bundled Solar Power Project by Vector Green Energy Private Limited,India,VCS-SDG,4150,0.7,Trade,CBL,2020-01-20,0.0,,2020,1,1,2018
148,VCS 1792,Solar,Ghani solar renewable power project by greenko group,India,VCS-SDG,12850,0.7,Trade,CBL,2020-01-20,0.0,,2020,1,1,2017
149,VCS 674,REDD,Rimba Raya,Indonesia,VCS-CCB-SDG,7500,6.5,Trade,CBL,2020-01-20,0.0,,2020,1,1,2014
150,VCS 1839,Wind,Cecic HKC Danjinghe Wind Farm Project,China,VCS,40000,0.49,Trade,CBL,2020-01-24,0.0,,2020,1,1,2016
151,VCS 1839,Wind,Cecic HKC Danjinghe Wind Farm Project,China,VCS,30000,0.5,Trade,CBL,2020-01-24,0.0,,2020,1,1,2016
152,VCS 977,REDD,RMDLT Portel - Para REDD Project,Brazil,VCS-CCB,3000,1.6,Trade,CBL,2020-01-24,0.0,,2020,1,1,2012
153,VCS 977,REDD,RMDLT Portel - Para REDD Project,Brazil,VCS-CCB,65000,1.59,Trade,CBL,2020-01-31,0.0,,2020,1,1,2013
154,VCS 589,Alternative Energy,Cai Be Rice Husk Thermal Energy Generation Project,Viet Nam,VCS,2000,2.1,Trade,CBL,2020-02-03,0.0,,2020,2,1,2014
155,VCS 562,REDD,The Kasigau Corridor REDD Project - Phase I Rukinga Sanctuary,Kenya,VCS-CCB-SDG,1000,7.6,Trade,CBL,2020-02-09,0.0,,2020,2,1,2016
156,VCS 1748,REDD,Southern Cardamom,Cambodia,VCS-CCB-SDG,1000,7.6,Trade,CBL,2020-02-09,1.0,,2020,2,1,2015
157,VCS 1824,Biomass,"Liucheng Biomass Power Generation Project in Guangxi Zhuang Autonomous Region, China",China,VCS,40474,0.48,Trade,CBL,2020-02-13,0.0,,2020,2,1,2016
158,VCS 1939,Wind,Cecep Gansu Yumen Changma Daba South Wind Farm Project,China,VCS,78164,0.8,Trade,CBL,2020-02-13,0.0,,2020,2,1,2017
159,VCS 1200,Wind,Guohua Wulate Zhongqi Phase II Wind Farm Project,China,VCS,141214,0.8,Trade,CBL,2020-02-13,0.0,,2020,2,1,2016
160,VCS 1001,Wind,Inner mongolia yihewusu phase II wind power project,China,VCS,110617,0.8,Trade,CBL,2020-02-13,0.0,,2020,2,1,2016
161,VCS 1939,Wind,Cecep Gansu Yumen Changma Daba South Wind Farm Project,China,VCS,98344,0.8,Trade,CBL,2020-02-13,0.0,,2020,2,1,2016
162,VCS 1356,Wind,Jiangsu Dongtai Phase II Wind Power Project,China,VCS,383648,0.8,Trade,CBL,2020-02-13,0.0,,2020,2,1,2016
163,VCS 1356,Wind,Jiangsu Dongtai Phase II Wind Power Project,China,VCS,371055,0.8,Trade,CBL,2020-02-13,0.0,,2020,2,1,2015
164,VCS 1200,Wind,Guohua Wulate Zhongqi Phase II Wind Farm Project,China,VCS,127053,0.8,Trade,CBL,2020-02-13,0.0,,2020,2,1,2015
