,Project ID,Project Name,Project Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date,Additional Issuance Certifications
1780,86,Xiangjian Hydropower Station Units 3 and 4 Project,"Yanbian Heli Electric Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,China,10928,Asia,2020-04-06,2021-06-01,2028-05-31,
1781,89,Xinjiang Dabancheng Sanchang First Phase Wind Farm Project,"Xinjiang Tianfeng Wind Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,80817,Asia,2020-04-06,,,
1782,106,"Taohua 9MW Hydro Power Project in Guizhou Province, China",Guizhou Qiannan Zhongshui Hydro Power Development,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,China,29516,Asia,2009-07-15,2020-09-26,2027-09-25,
1783,109,8.25 MW Bundled Wind Power Project,M/s MITCON Consultancy Services Ltd.,Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,India,14888,Asia,2009-07-23,,,
1784,3,Liaoning Xingcheng Haibin Wind Farm Project,"Hefeng Taoyuan Hydropower Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,122340,,2020-04-06,,,
1785,6,HEILONGJIANG MULING DAIMAGOU WIND FARM PROJECT (PHASE 2) CHINA,Hong Kong Wind Power (Muling) Ltd.,Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,75293,Asia,2009-03-24,,,
1786,23,AWMS METHANE RECOVERY PROJECT BR06-S-28,Agcert do Brasil Solucoes Ambientais Ltda.,Waste handling and disposal,,AMS-III.D.,Registered,Brazil,4228,Latin America,2009-03-18,2021-01-01,2027-12-31,
1787,26,Gansu Diebu Niaojiaga 12.9 MW Hydropower Station Project,"Diebu Niaojiaga Hydropower Development Co, Ltd",Energy industries (renewable/non-renewable sources),,AMS-I.D.,Registered,China,55789,Asia,2020-04-06,,,
1788,43,Fuel Switch from fossil fuel to renewable biomass for thermal energy applications in Rajasthan,Greenply Industries Limited (GIL),Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,India,17475,Asia,2020-04-06,,,
1789,46,Wahei Hydroelectric Project,"Sichuan Mabian Xianjiapuhe Power Generation Co., L",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,177575,Asia,2020-04-06,2020-06-27,2027-06-26,
1790,49,Liaoning Huanren Niumaodashan Wind Power Project,"CASC Longyuan (Benxi) Wind Power Co., Ltd.",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,61739,Asia,2020-04-06,,,
1791,214,"Lohberg 1/2, Utilization of Coal-Mine-Methane",Carbon-TF B.V.,"Fugitive emissions from fuels (solid, oil and gas)",,ACM0008,Registered,Germany,199021,,2020-04-06,,,
1792,388,Fuel Switch to Renewable Biomass for Thermal Use at MAG Commercial Greenhouse Facility,Mid American Growers,Energy industries (renewable/non-renewable sources),,AMS-I.C.,Registered,United States,9921,North America,2010-04-14,2020-07-01,2030-06-30,
1793,390,Utilization of waste gas heat for power generation,Sterlite Industries (India) Limited,Energy industries (renewable/non-renewable sources); Manufacturing industries,,ACM0012,Registered,India,30446,Asia,2010-04-16,,,
1794,394,Hebei Chongli Qingsanying 49.3MW Wind Farm Project,"HECI Longyuan Chongli Windpower Co., Ltd",Energy industries (renewable/non-renewable sources),,ACM0002,Registered,China,121576,Asia,2010-04-19,2022-04-14,2029-04-13,
